year,sport,discipline,athlete,country_code,gender,event,medal,medal_value
1956,Gymnastics,Artistic G.,"GULYAS-KÃTELES, Erzsebet",HUN,Women,team competition,Silver,2
1956,Gymnastics,Artistic G.,"BODO-MOLNAR, Andrea",HUN,Women,team competition,Silver,2
1956,Gymnastics,Artistic G.,"MURATOVA, Sofiya",URS,Women,team competition,Gold,3
1956,Gymnastics,Artistic G.,"EGOROVA, Lyudmila",URS,Women,team competition,Gold,3
1956,Gymnastics,Artistic G.,"LATYNINA, Larisa",URS,Women,team competition,Gold,3
1956,Gymnastics,Artistic G.,"KALININA-IVANOVA, Lidiya",URS,Women,team competition,Gold,3
1956,Gymnastics,Artistic G.,"KELETI, Agnes",HUN,Women,team competition,Silver,2
1956,Gymnastics,Artistic G.,"ASTAKHOVA, Polina",URS,Women,team competition,Gold,3
1956,Gymnastics,Artistic G.,"MANINA, Tamara",URS,Women,team competition,Gold,3
1956,Gymnastics,Artistic G.,"KERTESZ, Aliz",HUN,Women,team competition,Silver,2
1956,Gymnastics,Artistic G.,"HORZONEK-JOKIEL, Dorota",POL,Women,"team, portable apparatus",Bronze,1
1956,Gymnastics,Artistic G.,"TASS LEMHENYI, Olga",HUN,Women,team competition,Silver,2
1956,Gymnastics,Artistic G.,"ASTAKHOVA, Polina",URS,Women,"team, portable apparatus",Bronze,1
1956,Gymnastics,Artistic G.,"EGOROVA, Lyudmila",URS,Women,"team, portable apparatus",Bronze,1
1956,Gymnastics,Artistic G.,"KALININA-IVANOVA, Lidiya",URS,Women,"team, portable apparatus",Bronze,1
1956,Gymnastics,Artistic G.,"KOT, Natalia",POL,Women,"team, portable apparatus",Bronze,1
1956,Gymnastics,Artistic G.,"LATYNINA, Larisa",URS,Women,"team, portable apparatus",Bronze,1
1956,Gymnastics,Artistic G.,"MANINA, Tamara",URS,Women,"team, portable apparatus",Bronze,1
1956,Gymnastics,Artistic G.,"MURATOVA, Sofiya",URS,Women,"team, portable apparatus",Bronze,1
1956,Gymnastics,Artistic G.,"NOWAK-STACHOW, Danuta",POL,Women,"team, portable apparatus",Bronze,1
1956,Gymnastics,Artistic G.,"VATASOIU-LITA, Emilia",ROU,Women,team competition,Bronze,1
1956,Gymnastics,Artistic G.,"RAKOCZY, Helena",POL,Women,"team, portable apparatus",Bronze,1
1956,Gymnastics,Artistic G.,"KORONDI, Margit",HUN,Women,team competition,Silver,2
1956,Gymnastics,Artistic G.,"SACALICI-PETROSANU, Elena",ROU,Women,team competition,Bronze,1
1956,Gymnastics,Artistic G.,"STOLBOV, Pavel",URS,Men,team competition,Gold,3
