year,sport,discipline,athlete,country_code,gender,event,medal,medal_value
1948,Rowing,Rowing,"HALKJAER, Helge",DEN,Men,four without coxswain (4-),Silver,0
1948,Rowing,Rowing,"HANSEN, Aksel Bonde",DEN,Men,four without coxswain (4-),Silver,0
1948,Rowing,Rowing,"LARSEN, Ib Storm",DEN,Men,four without coxswain (4-),Silver,0
1948,Rowing,Rowing,"SCHRÃDER, Helge Muxoll",DEN,Men,four without coxswain (4-),Silver,0
1948,Rowing,Rowing,"KNUDSEN, Harry Madsen",DEN,Men,four-oared shell with coxswain (4-),Bronze,0
1948,Rowing,Rowing,"LARSEN, Erik Christian",DEN,Men,four-oared shell with coxswain (4-),Bronze,0
1948,Rowing,Rowing,"LARSEN, Henry Christian",DEN,Men,four-oared shell with coxswain (4-),Bronze,0
1948,Rowing,Rowing,"NIELSEN, BÃ¶rge Daniel Raahauge",DEN,Men,four-oared shell with coxswain (4-),Bronze,0
1948,Rowing,Rowing,"OLSEN, JÃ¶rgen Ib",DEN,Men,four-oared shell with coxswain (4-),Bronze,0
1948,Rowing,Rowing,"GIOVANELLI, Gordon Stephen",USA,Men,four-oared shell with coxswain (4-),Gold,0
1948,Rowing,Rowing,"MOIOLI, Giuseppe",ITA,Men,four without coxswain (4-),Gold,0
1948,Rowing,Rowing,"MARTIN, Robert Doud",USA,Men,four-oared shell with coxswain (4-),Gold,0
1948,Rowing,Rowing,"WESTLUND, Warren Dehaven",USA,Men,four-oared shell with coxswain (4-),Gold,0
1948,Rowing,Rowing,"WILL, Robert Ide",USA,Men,four-oared shell with coxswain (4-),Gold,0
1948,Rowing,Rowing,"KNECHT, Emile A.",SUI,Men,four-oared shell with coxswain (4-),Silver,0
1948,Rowing,Rowing,"MOCCAND, Andre",SUI,Men,four-oared shell with coxswain (4-),Silver,0
1948,Rowing,Rowing,"REICHLING, Rudolf",SUI,Men,four-oared shell with coxswain (4-),Silver,0
1948,Rowing,Rowing,"SCHRIEVER, Erich",SUI,Men,four-oared shell with coxswain (4-),Silver,0
1948,Rowing,Rowing,"STEBLER, Pierre Armand",SUI,Men,four-oared shell with coxswain (4-),Silver,0
1948,Rowing,Rowing,"SZENDEY, Antal",HUN,Men,pair-oared shell with coxswain (2+),Bronze,0
1948,Rowing,Rowing,"ZIMONYI, Robert",HUN,Men,pair-oared shell with coxswain (2+),Bronze,0
1948,Rowing,Rowing,"ZSITNIK SR., Bela",HUN,Men,pair-oared shell with coxswain (2+),Bronze,0
1948,Rowing,Rowing,"MORGAN, Allan Jerome",USA,Men,four-oared shell with coxswain (4-),Gold,0
1948,Fencing,Fencing,"AGOSTONI, Carlo",ITA,Men,Ã©pÃ©e team,Silver,0
1948,Rowing,Rowing,"LARSEN, Aage Ernst",DEN,Men,double sculls (2x),Silver,0
1948,Fencing,Fencing,"LEPAGE, Henri",FRA,Men,Ã©pÃ©e team,Gold,0
1948,Athletics,Athletics,"EWELL, Harold Norwood",USA,Men,4x100m relay,Gold,0
1948,Athletics,Athletics,"PATTON, Melvin Emery",USA,Men,4x100m relay,Gold,0
