year,sport,discipline,athlete,country_code,gender,event,medal,medal_value
1976,Hockey,Hockey,"WILSON, Les",NZL,Men,hockey,Gold,0
1976,Hockey,Hockey,"PATEL, Mohan",NZL,Men,hockey,Gold,0
1976,Hockey,Hockey,"PARKIN, Arthur",NZL,Men,hockey,Gold,0
1976,Hockey,Hockey,"MANNING, Trevor",NZL,Men,hockey,Gold,0
1976,Hockey,Hockey,"MCLEOD, Neil",NZL,Men,hockey,Gold,0
1976,Hockey,Hockey,"MC INTYRE, Alan Lionel",NZL,Men,hockey,Gold,0
1976,Hockey,Hockey,"PATEL, Ramesh",NZL,Men,hockey,Gold,0
1976,Judo,Judo,"CHANG, Eun-Kyung",KOR,Men,- 63kg (lightweight),Silver,0
1976,Hockey,Hockey,"MAISTER, Barry John",NZL,Men,hockey,Gold,0
1976,Hockey,Hockey,"INESON, Tony",NZL,Men,hockey,Gold,0
1976,Hockey,Hockey,"DAMAN, Gregory",NZL,Men,hockey,Gold,0
1976,Hockey,Hockey,"CHRISTENSEN, John Hansen",NZL,Men,hockey,Gold,0
1976,Hockey,Hockey,"CHESNEY, Alan",NZL,Men,hockey,Gold,0
1976,Hockey,Hockey,"BELL, David",AUS,Men,hockey,Silver,0
1976,Hockey,Hockey,"BORREN, Thurman",NZL,Men,hockey,Gold,0
1976,Hockey,Hockey,"ARCHIBALD, Geoffrey",NZL,Men,hockey,Gold,0
1976,Hockey,Hockey,"MAISTER, Selwyn Gerald",NZL,Men,hockey,Gold,0
1976,Hockey,Hockey,"BROWNING, Gregory",AUS,Men,hockey,Silver,0
1976,Judo,Judo,"MARIANI, Felice",ITA,Men,- 63kg (lightweight),Bronze,0
1976,Hockey,Hockey,"COOKE, Ian",AUS,Men,hockey,Silver,0
1976,Hockey,Hockey,"ACKERLEY, Paul",NZL,Men,hockey,Gold,0
1976,Judo,Judo,"RODRIGUEZ TORRES, Hector",CUB,Men,- 63kg (lightweight),Gold,0
1976,Judo,Judo,"COAGE, Allen James",USA,Men,+ 93kg (heavyweight),Bronze,0
1976,Judo,Judo,"TUNCSIK, Jozsef",HUN,Men,- 63kg (lightweight),Bronze,0
1976,Hockey,Hockey,"WALSH, Terence",AUS,Men,hockey,Silver,0
1976,Hockey,Hockey,"SMITH, Trevor",AUS,Men,hockey,Silver,0
1976,Hockey,Hockey,"RILEY, Ronald",AUS,Men,hockey,Silver,0
1976,Hockey,Hockey,"CHARLESWORTH, Richard",AUS,Men,hockey,Silver,0
1976,Hockey,Hockey,"REID, Graham",AUS,Men,hockey,Silver,0
1976,Hockey,Hockey,"POOLE, Malcolm",AUS,Men,hockey,Silver,0
1976,Hockey,Hockey,"MARSHALL, Stephen",AUS,Men,hockey,Silver,0
1976,Hockey,Hockey,"IRVINE, James",AUS,Men,hockey,Silver,0
1976,Hockey,Hockey,"HAMMOND, Wayne",AUS,Men,hockey,Silver,0
1976,Hockey,Hockey,"HAIGH, Robert",AUS,Men,hockey,Silver,0
1976,Hockey,Hockey,"GOLDER, Thomas Douglas",AUS,Men,hockey,Silver,0
1976,Hockey,Hockey,"DANCER, Barry",AUS,Men,hockey,Silver,0
1976,Hockey,Hockey,"PROCTOR, Robert",AUS,Men,hockey,Silver,0
1976,Hockey,Hockey,"SYED, Mudassar Ashgar",PAK,Men,hockey,Bronze,0
1976,Handball,Handball,"SHABANOVA, Rafiga",URS,Women,handball,Gold,0
1976,Hockey,Hockey,"SHERWANI, Saleem",PAK,Men,hockey,Bronze,0
1976,Handball,Handball,"MICHAELIS, Liane",GDR,Women,handball,Silver,0
1976,Handball,Handball,"MATZ, Evelyn",GDR,Women,handball,Silver,0
1976,Handball,Handball,"KRETZSCHMAR, Waltraud",GDR,Women,handball,Silver,0
1976,Handball,Handball,"KRAUSE, Roswitha",GDR,Women,handball,Silver,0
1976,Handball,Handball,"BUROSCH, Hannelore",GDR,Women,handball,Silver,0
1976,Handball,Handball,"BADOREK, Gabriele",GDR,Women,handball,Silver,0
1976,Handball,Handball,"ZAKHAROVA, Galina",URS,Women,handball,Gold,0
1976,Handball,Handball,"PASKUY, Eva",GDR,Women,handball,Silver,0
1976,Handball,Handball,"TURCHINA, Zinaida",URS,Women,handball,Gold,0
1976,Handball,Handball,"SHERSTYUK-TIMOSHKINA, Natalia",URS,Women,handball,Gold,0
1976,Handball,Handball,"PANCHUK, Lyudmila",URS,Women,handball,Gold,0
1976,Handball,Handball,"MAKARETS-KOCHERGINA, Tatiana",URS,Women,handball,Gold,0
1976,Handball,Handball,"LOBOVA, Nina",URS,Women,handball,Gold,0
1976,Handball,Handball,"KARLOVA, Larisa",URS,Women,handball,Gold,0
1976,Judo,Judo,"ENDO, Sumio",JPN,Men,+ 93kg (heavyweight),Bronze,0
1976,Handball,Handball,"LITOSHCHENKO, Mariya",URS,Women,handball,Gold,0
1976,Handball,Handball,"SHUBINA, Lyudmila",URS,Women,handball,Gold,0
1976,Handball,Handball,"RICHTER-HOCHMUT, Kristina",GDR,Women,handball,Silver,0
1976,Handball,Handball,"ROST, Christina",GDR,Women,handball,Silver,0
1976,Handball,Handball,"SIEFERT, Silvia",GDR,Women,handball,Silver,0
1976,Hockey,Hockey,"SHAIKH, Shahnaz",PAK,Men,hockey,Bronze,0
1976,Hockey,Hockey,"SALIM, Nazim",PAK,Men,hockey,Bronze,0
1976,Hockey,Hockey,"QAMAR, Zia",PAK,Men,hockey,Bronze,0
1976,Hockey,Hockey,"MUNAWAR, Uz-Zaman",PAK,Men,hockey,Bronze,0
1976,Hockey,Hockey,"MANZOOR, Hussain",PAK,Men,hockey,Bronze,0
1976,Hockey,Hockey,"MANZOOR, Hassan",PAK,Men,hockey,Bronze,0
1976,Hockey,Hockey,"KHAN, Sami Ullah",PAK,Men,hockey,Bronze,0
