year,sport,discipline,athlete,country_code,gender,event,medal,medal_value
1984,Hockey,Hockey,"ANDERS, Elizabeth Rambo",USA,Women,hockey,Bronze,0
1984,Hockey,Hockey,"BEGLIN, Elizabeth Anne",USA,Women,hockey,Bronze,0
1984,Hockey,Hockey,"BUGGY, Regina E.",USA,Women,hockey,Bronze,0
1984,Hockey,Hockey,"MCCAHEY, Kathleen Ann",USA,Women,hockey,Bronze,0
1984,Hockey,Hockey,"JOHNSON, Sheryl Ann",USA,Women,hockey,Bronze,0
1984,Hockey,Hockey,"LARSON-MASON, Christine",USA,Women,hockey,Bronze,0
1984,Hockey,Hockey,"SLAWYK, Markku",FRG,Men,hockey,Silver,0
1984,Hockey,Hockey,"CHEESEMAN, Gwen Wentz",USA,Women,hockey,Bronze,0
1984,Hockey,Hockey,"FRIED, Volker",FRG,Men,hockey,Silver,0
1984,Hockey,Hockey,"WILLEMSE, Laurien",NED,Women,hockey,Gold,0
1984,Hockey,Hockey,"RECK, Thomas Werner",FRG,Men,hockey,Silver,0
1984,Hockey,Hockey,"PETER, Michael",FRG,Men,hockey,Silver,0
1984,Hockey,Hockey,"KRULL, Reinhard",FRG,Men,hockey,Silver,0
1984,Hockey,Hockey,"KELLER, Andreas",FRG,Men,hockey,Silver,0
1984,Hockey,Hockey,"HURTER, Karl-Joachim",FRG,Men,hockey,Silver,0
1984,Hockey,Hockey,"HANEL, Horst-Ulrich",FRG,Men,hockey,Silver,0
1984,Hockey,Hockey,"GUNST, Thomas",FRG,Men,hockey,Silver,0
1984,Hockey,Hockey,"MILLER, Anita Corl",USA,Women,hockey,Bronze,0
1984,Hockey,Hockey,"SCHMIDT-OPPER, Ekkhard",FRG,Men,hockey,Silver,0
1984,Hockey,Hockey,"MILNE, Leslie Woods",USA,Women,hockey,Bronze,0
1984,Hockey,Hockey,"SEVENS, Elisabeth Anthonius",NED,Women,hockey,Gold,0
1984,Hockey,Hockey,"MOYER, Diane Marie",USA,Women,hockey,Bronze,0
1984,Hockey,Hockey,"FRANK, Tobias",FRG,Men,hockey,Silver,0
1984,Hockey,Hockey,"VAN MANEN, Aletta",NED,Women,hockey,Gold,0
1984,Hockey,Hockey,"VAN DOORN, Marieke Birgitta",NED,Women,hockey,Gold,0
1984,Hockey,Hockey,"VON WEILER, Sophie Pauline",NED,Women,hockey,Gold,0
1984,Hockey,Hockey,"POS, Alette",NED,Women,hockey,Gold,0
1984,Hockey,Hockey,"OHR, Martine",NED,Women,hockey,Gold,0
1984,Hockey,Hockey,"NIEUWEWNHUIZEN, Anne Lucia (Anneloes)",NED,Women,hockey,Gold,0
1984,Hockey,Hockey,"LE POOLE, Alexandra",NED,Women,hockey,Gold,0
1984,Hockey,Hockey,"HILLEN, Francisca",NED,Women,hockey,Gold,0
1984,Hockey,Hockey,"HENDRIKS, Irene",NED,Women,hockey,Gold,0
1984,Hockey,Hockey,"DE BEUS, Bernadette",NED,Women,hockey,Gold,0
1984,Hockey,Hockey,"BOLHUIS-EIJSVOGEL, Maria Yolanda C.",NED,Women,hockey,Gold,0
1984,Hockey,Hockey,"BOEKHORST, Josephine",NED,Women,hockey,Gold,0
1984,Hockey,Hockey,"BENNINGA, Carina",NED,Women,hockey,Gold,0
1984,Hockey,Hockey,"STRONG, Judith Ann",USA,Women,hockey,Bronze,0
1984,Hockey,Hockey,"STAVER, Julia Ann",USA,Women,hockey,Bronze,0
1984,Hockey,Hockey,"STAUFFER, Brenda Lee",USA,Women,hockey,Bronze,0
1984,Hockey,Hockey,"SHELTON, Karen Christina",USA,Women,hockey,Bronze,0
1984,Hockey,Hockey,"PLACE, Marcella Jeanette",USA,Women,hockey,Bronze,0
1984,Hockey,Hockey,"MORETT, Charlene Frances",USA,Women,hockey,Bronze,0
1984,Hockey,Hockey,"FISCHER, Carsten",FRG,Men,hockey,Silver,0
1984,Handball,Handball,"SON, Mi-Ha",KOR,Women,handball,Silver,0
1984,Hockey,Hockey,"BRINKMANN, Dirk",FRG,Men,hockey,Silver,0
1984,Hockey,Hockey,"MCCONNELL, William David Robert",GBR,Men,hockey,Bronze,0
1984,Hockey,Hockey,"MARTIN, Stephen Alexander.",GBR,Men,hockey,Bronze,0
1984,Hockey,Hockey,"LEMAN, Richard Alexander",GBR,Men,hockey,Bronze,0
1984,Hockey,Hockey,"KERLY, Sean Robin",GBR,Men,hockey,Bronze,0
1984,Hockey,Hockey,"HUGHES, Norman",GBR,Men,hockey,Bronze,0
1984,Hockey,Hockey,"DUTHIE, James Livingstone",GBR,Men,hockey,Bronze,0
1984,Hockey,Hockey,"DODDS, Richard David Allan",GBR,Men,hockey,Bronze,0
1984,Hockey,Hockey,"CATTRALL, Robert Lewis",GBR,Men,hockey,Bronze,0
1984,Hockey,Hockey,"BHAURA, Kulbir Singh",GBR,Men,hockey,Bronze,0
1984,Hockey,Hockey,"BATCHELOR, Steven James",GBR,Men,hockey,Bronze,0
1984,Hockey,Hockey,"BARBER, Paul Jason",GBR,Men,hockey,Bronze,0
1984,Handball,Handball,"YOON, Soo-Kyung",KOR,Women,handball,Silver,0
1984,Handball,Handball,"YOON, Byung-Soon",KOR,Women,handball,Silver,0
1984,Handball,Handball,"SUNG, Kyung-Hwa",KOR,Women,handball,Silver,0
1984,Handball,Handball,"LEE, Young-Ja",KOR,Women,handball,Silver,0
1984,Handball,Handball,"LEE, Soon-Ei",KOR,Women,handball,Silver,0
1984,Handball,Handball,"KIM, Mi-Sook",KOR,Women,handball,Silver,0
1984,Hockey,Hockey,"ZEGERS, Margriet",NED,Women,hockey,Gold,0
1984,Handball,Handball,"KIM, Ok-Hwa",KOR,Women,handball,Silver,0
1984,Hockey,Hockey,"PAPPIN, Veryan Guy Henry",GBR,Men,hockey,Bronze,0
1984,Hockey,Hockey,"DOPP, Heiner",FRG,Men,hockey,Silver,0
1984,Hockey,Hockey,"POTTER, Jonathan Nicholas M.",GBR,Men,hockey,Bronze,0
1984,Hockey,Hockey,"TAYLOR, Ian Charles Boucher",GBR,Men,hockey,Bronze,0
1984,Hockey,Hockey,"BLÃCHER, Stefan",FRG,Men,hockey,Silver,0
1984,Hockey,Hockey,"BASSEMIR, Christian",FRG,Men,hockey,Silver,0
1984,Hockey,Hockey,"SHERWANI, Saleem",PAK,Men,hockey,Gold,0
1984,Hockey,Hockey,"QASIM, Zia",PAK,Men,hockey,Gold,0
1984,Hockey,Hockey,"NASIR, Ali",PAK,Men,hockey,Gold,0
1984,Hockey,Hockey,"NAEEM, Akhtar",PAK,Men,hockey,Gold,0
