year,sport,discipline,athlete,country_code,gender,event,medal,medal_value
1996,Hockey,Hockey,"ARNAU, Jordi",ESP,Men,hockey,Silver,2
1996,Hockey,Hockey,"VAN DEN HONERT, Taco",NED,Men,hockey,Gold,3
1996,Hockey,Hockey,"VAN MEER, Tycho",NED,Men,hockey,Gold,3
1996,Hockey,Hockey,"VAN PELT, Wouter",NED,Men,hockey,Gold,3
1996,Hockey,Hockey,"VEEN, Stephan",NED,Men,hockey,Gold,3
1996,Hockey,Hockey,"SMITH, Matthew",AUS,Men,hockey,Bronze,1
1996,Hockey,Hockey,"VOGELS, Guus",NED,Men,hockey,Gold,3
1996,Hockey,Hockey,"AMAT, Pablo Pol",ESP,Men,hockey,Silver,2
1996,Hockey,Hockey,"AMAT, Jaime",ESP,Men,hockey,Silver,2
1996,Hockey,Hockey,"VAN WIJK, Remco",NED,Men,hockey,Gold,3
1996,Hockey,Hockey,"LOMANS, Bram",NED,Men,hockey,Gold,3
1996,Hockey,Hockey,"BRINKMAN, Jacques",NED,Men,hockey,Gold,3
1996,Hockey,Hockey,"JAZET, Erik",NED,Men,hockey,Gold,3
1996,Hockey,Hockey,"JANSEN, Franciscus Ronaldus Maria",NED,Men,hockey,Gold,3
1996,Hockey,Hockey,"DELMEE, Jeroen",NED,Men,hockey,Gold,3
1996,Hockey,Hockey,"DELISSEN, Marc",NED,Men,hockey,Gold,3
1996,Hockey,Hockey,"DE NOOIJER, Teun",NED,Men,hockey,Gold,3
1996,Hockey,Hockey,"CRUCQ, Maurits",NED,Men,hockey,Gold,3
1996,Hockey,Hockey,"STACEY, Jay Jason",AUS,Men,hockey,Bronze,1
1996,Hockey,Hockey,"BOVELANDER, Floris Jan",NED,Men,hockey,Gold,3
1996,Hockey,Hockey,"YORK, Michael",AUS,Men,hockey,Bronze,1
1996,Hockey,Hockey,"ARNAU, Xavi",ESP,Men,hockey,Silver,2
1996,Hockey,Hockey,"WARK, Kenneth",AUS,Men,hockey,Bronze,1
1996,Hockey,Hockey,"SPROULE, Daniel",AUS,Men,hockey,Bronze,1
1996,Hockey,Hockey,"KLEIN GEBBINK, Leo",NED,Men,hockey,Gold,3
1996,Hockey,Hockey,"BARRENA, Oscar",ESP,Men,hockey,Silver,2
1996,Hockey,Hockey,"TEEUWEN, Josepha",NED,Women,hockey,Bronze,1
1996,Hockey,Hockey,"DINARES, Juan",ESP,Men,hockey,Silver,2
1996,Hockey,Hockey,"VAN DEN BOOGAARD, Dillianne",NED,Women,hockey,Bronze,1
1996,Hockey,Hockey,"VAN DER WIELEN, Suzan",NED,Women,hockey,Bronze,1
