year,sport,discipline,athlete,country_code,gender,event,medal,medal_value
1964,Hockey,Hockey,"NILAN, Patrick",AUS,Men,hockey,Bronze,1
1964,Hockey,Hockey,"PEARCE, Julian",AUS,Men,hockey,Bronze,1
1964,Hockey,Hockey,"PIPER, Desmond",AUS,Men,hockey,Bronze,1
1964,Hockey,Hockey,"PEARCE, Eric Robert",AUS,Men,hockey,Bronze,1
1964,Hockey,Hockey,"MCWATTERS, Donald",AUS,Men,hockey,Bronze,1
1964,Hockey,Hockey,"SINGH, Harbinder",IND,Men,hockey,Gold,3
1964,Hockey,Hockey,"HODDER, Robin",AUS,Men,hockey,Bronze,1
1964,Hockey,Hockey,"GLENCROSS, Brian",AUS,Men,hockey,Bronze,1
1964,Hockey,Hockey,"EVANS, Raymond",AUS,Men,hockey,Bronze,1
1964,Hockey,Hockey,"DEARING, Paul",AUS,Men,hockey,Bronze,1
1964,Hockey,Hockey,"CROSSMAN, Mervyn",AUS,Men,hockey,Bronze,1
1964,Hockey,Hockey,"MCBRYDE, John",AUS,Men,hockey,Bronze,1
1964,Hockey,Hockey,"SMART, Donald",AUS,Men,hockey,Bronze,1
1964,Hockey,Hockey,"SINGH, Darshan",IND,Men,hockey,Gold,3
1964,Hockey,Hockey,"WOOD, Graham",AUS,Men,hockey,Bronze,1
1964,Hockey,Hockey,"KAUSHIK, Hari Pal",IND,Men,hockey,Gold,3
1964,Hockey,Hockey,"LAL, Mohinder",IND,Men,hockey,Gold,3
1964,Hockey,Hockey,"LAXMAN, Shankar",IND,Men,hockey,Gold,3
1964,Hockey,Hockey,"PATIL, Bandu",IND,Men,hockey,Gold,3
1964,Hockey,Hockey,"PETER, John Victor",IND,Men,hockey,Gold,3
1964,Hockey,Hockey,"SAYED, Ali",IND,Men,hockey,Gold,3
1964,Hockey,Hockey,"SINGH KULLAR, Udham",IND,Men,hockey,Gold,3
1964,Hockey,Hockey,"SINGH, Charanjit",IND,Men,hockey,Gold,3
1964,Hockey,Hockey,"SINGH, Dharam",IND,Men,hockey,Gold,3
