year,sport,discipline,athlete,country_code,gender,event,medal,medal_value
2004,Hockey,Hockey,"MOWLAM, Stephen",AUS,Men,hockey,Gold,3
2004,Hockey,Hockey,"SCHUBERT, Grant",AUS,Men,hockey,Gold,3
2004,Hockey,Hockey,"WELLS, Matthew",AUS,Men,hockey,Gold,3
2004,Hockey,Hockey,"BROUWER, Matthijs",NED,Men,hockey,Silver,2
2004,Hockey,Hockey,"DELMEE, Jeroen",NED,Men,hockey,Silver,2
2004,Hockey,Hockey,"DE NOOIJER, Teun",NED,Men,hockey,Silver,2
2004,Hockey,Hockey,"DERIKX, Geert-Jan",NED,Men,hockey,Silver,2
2004,Hockey,Hockey,"DERIKX, Rob",NED,Men,hockey,Silver,2
2004,Hockey,Hockey,"EVERS, Floris",NED,Men,hockey,Silver,2
2004,Hockey,Hockey,"BROUWER, Ronald",NED,Men,hockey,Silver,2
2004,Hockey,Hockey,"EIKELBOOM, Marten",NED,Men,hockey,Silver,2
2004,Hockey,Hockey,"GEORGE, Bevan",AUS,Men,hockey,Gold,3
2004,Hockey,Hockey,"LIVERMORE, Brent",AUS,Men,hockey,Gold,3
2004,Hockey,Hockey,"KNOWLES, Mark",AUS,Men,hockey,Gold,3
2004,Hockey,Hockey,"HICKMAN, Mark",AUS,Men,hockey,Gold,3
2004,Hockey,Hockey,"HAMMOND, Robert",AUS,Men,hockey,Gold,3
2004,Hockey,Hockey,"ELDER, Troy",AUS,Men,hockey,Gold,3
2004,Hockey,Hockey,"EGLINGTON, Nathan",AUS,Men,hockey,Gold,3
2004,Hockey,Hockey,"DWYER, Jamie",AUS,Men,hockey,Gold,3
2004,Hockey,Hockey,"DE YOUNG, Liam",AUS,Men,hockey,Gold,3
2004,Hockey,Hockey,"BUTLER, Dean",AUS,Men,hockey,Gold,3
2004,Hockey,Hockey,"BROOKS, Travis",AUS,Men,hockey,Gold,3
2004,Hockey,Hockey,"BRENNAN, Michael",AUS,Men,hockey,Gold,3
2004,Hockey,Hockey,"ZELLER, Christopher",GER,Men,hockey,Bronze,1
2004,Hockey,Hockey,"WITTHAUS, Matthias",GER,Men,hockey,Bronze,1
2004,Hockey,Hockey,"WESS, Timo",GER,Men,hockey,Bronze,1
2004,Hockey,Hockey,"MCCANN, Michael",AUS,Men,hockey,Gold,3
2004,Hockey,Hockey,"JAZET, Erik",NED,Men,hockey,Silver,2
2004,Hockey,Hockey,"VOGELS, Guus",NED,Men,hockey,Silver,2
2004,Hockey,Hockey,"MAHIEU, Jesse",NED,Men,hockey,Silver,2
2004,Hockey,Hockey,"KLECKER, Denise",GER,Women,hockey,Gold,3
2004,Hockey,Hockey,"KELLER, Natascha",GER,Women,hockey,Gold,3
2004,Hockey,Hockey,"WEISSENBORN, Tibor",GER,Men,hockey,Bronze,1
2004,Hockey,Hockey,"HAASE, Mandy",GER,Women,hockey,Gold,3
2004,Hockey,Hockey,"GUDE, Franziska",GER,Women,hockey,Gold,3
2004,Hockey,Hockey,"ERNSTING KRIENKE, Nadine",GER,Women,hockey,Gold,3
2004,Hockey,Hockey,"CASARETTO, Caroline",GER,Women,hockey,Gold,3
2004,Hockey,Hockey,"BACHMANN, Tina",GER,Women,hockey,Gold,3
2004,Hockey,Hockey,"VUKOJICIC, Paola",ARG,Women,hockey,Bronze,1
2004,Hockey,Hockey,"STEPNIK, Ayelen Iara",ARG,Women,hockey,Bronze,1
2004,Hockey,Hockey,"RUSSO, Marine",ARG,Women,hockey,Bronze,1
2004,Hockey,Hockey,"ROGNONI, Maria Cecilia",ARG,Women,hockey,Bronze,1
2004,Hockey,Hockey,"ONETO, Vanina Paula",ARG,Women,hockey,Bronze,1
2004,Hockey,Hockey,"MARGALOT, Maria Mercedes",ARG,Women,hockey,Bronze,1
2004,Hockey,Hockey,"HERNANDEZ, Maria de la Paz",ARG,Women,hockey,Bronze,1
2004,Hockey,Hockey,"GULLA, Alejandra",ARG,Women,hockey,Bronze,1
2004,Hockey,Hockey,"GARCIA, Agustina",ARG,Women,hockey,Bronze,1
2004,Hockey,Hockey,"DI GIACOMO, Marina Emilce",ARG,Women,hockey,Bronze,1
2004,Hockey,Hockey,"BURKART, Claudia",ARG,Women,hockey,Bronze,1
2004,Hockey,Hockey,"AYMAR, Luciana",ARG,Women,hockey,Bronze,1
2004,Hockey,Hockey,"ARRONDO, Ines",ARG,Women,hockey,Bronze,1
2004,Hockey,Hockey,"ANTONISKA, Mariela",ARG,Women,hockey,Bronze,1
2004,Hockey,Hockey,"AICEGA, Magdalena",ARG,Women,hockey,Bronze,1
2004,Hockey,Hockey,"VEERING, Klaas",NED,Men,hockey,Silver,2
2004,Hockey,Hockey,"VAN DER WEIDE, Sander",NED,Men,hockey,Silver,2
2004,Hockey,Hockey,"TAEKEMA, Teake",NED,Men,hockey,Silver,2
2004,Hockey,Hockey,"RECKERS, Rob",NED,Men,hockey,Silver,2
2004,Hockey,Hockey,"KLAVER, Karel",NED,Men,hockey,Silver,2
2004,Hockey,Hockey,"GONZALEZ OLIVA, Mariana",ARG,Women,hockey,Bronze,1
2004,Handball,Handball,"SKOV, Rikke",DEN,Women,handball,Gold,3
2004,Hockey,Hockey,"SCHAROWSKY, Justus",GER,Men,hockey,Bronze,1
2004,Handball,Handball,"KIAERSKOU, Lotte",DEN,Women,handball,Gold,3
2004,Handball,Handball,"JOERGENSEN, Rikke Hoerlykke",DEN,Women,handball,Gold,3
2004,Handball,Handball,"JENSEN, Trine",DEN,Women,handball,Gold,3
2004,Handball,Handball,"FRUELUND, Katrine",DEN,Women,handball,Gold,3
2004,Handball,Handball,"DAUGAARD, Line",DEN,Women,handball,Gold,3
2004,Handball,Handball,"BROEDSGAARD, Karen",DEN,Women,handball,Gold,3
2004,Handball,Handball,"ANDERSEN, Kristine",DEN,Women,handball,Gold,3
2004,Handball,Handball,"ZASPA, Larysa",UKR,Women,handball,Bronze,1
2004,Handball,Handball,"YATSENKO, Olena",UKR,Women,handball,Bronze,1
2004,Handball,Handball,"VERGELYUK, Maryna",UKR,Women,handball,Bronze,1
2004,Handball,Handball,"TSYGITSA, Olena",UKR,Women,handball,Bronze,1
2004,Handball,Handball,"SIUKALO, Ganna",UKR,Women,handball,Bronze,1
2004,Handball,Handball,"SHINKARENKO, Tetyana",UKR,Women,handball,Bronze,1
2004,Handball,Handball,"SHEVCHENKO, Lyudmyla",UKR,Women,handball,Bronze,1
2004,Handball,Handball,"RAYHEL, Oxana",UKR,Women,handball,Bronze,1
2004,Handball,Handball,"RADCHENKO, Olena",UKR,Women,handball,Bronze,1
2004,Handball,Handball,"MARKUSHEVSKA, Galyna",UKR,Women,handball,Bronze,1
2004,Handball,Handball,"LYAPINA, Nataliya",UKR,Women,handball,Bronze,1
2004,Handball,Handball,"HONCHAROVA, Iryna",UKR,Women,handball,Bronze,1
2004,Handball,Handball,"BURMYSTROVA, Ganna",UKR,Women,handball,Bronze,1
2004,Handball,Handball,"BORYSENKO, Nataliya",UKR,Women,handball,Bronze,1
2004,Handball,Handball,"BORODINA, Anastasiya",UKR,Women,handball,Bronze,1
2004,Handball,Handball,"ZERBE, Volker",GER,Men,handball,Silver,2
2004,Handball,Handball,"ZEITZ, Christian",GER,Men,handball,Silver,2
2004,Handball,Handball,"VON BEHREN, Frank",GER,Men,handball,Silver,2
2004,Handball,Handball,"STEPHAN, Daniel",GER,Men,handball,Silver,2
2004,Handball,Handball,"SCHWARZER, Christian",GER,Men,handball,Silver,2
2004,Handball,Handball,"MIKKELSEN, Henriette Roende",DEN,Women,handball,Gold,3
2004,Handball,Handball,"MORTENSEN, Karin Oernhoej",DEN,Women,handball,Gold,3
2004,Handball,Handball,"NOERGAARD, Louise Bager",DEN,Women,handball,Gold,3
2004,Handball,Handball,"SCHMIDT, Rikke",DEN,Women,handball,Gold,3
2004,Hockey,Hockey,"REINELT, Sascha",GER,Men,hockey,Bronze,1
2004,Hockey,Hockey,"MICHEL, Bjoern",GER,Men,hockey,Bronze,1
2004,Hockey,Hockey,"KUNZ, Florian",GER,Men,hockey,Bronze,1
2004,Hockey,Hockey,"EMMERLING, Bjoern",GER,Men,hockey,Bronze,1
2004,Hockey,Hockey,"EIMER, Christoph",GER,Men,hockey,Bronze,1
2004,Hockey,Hockey,"DUCKWITZ, Eike",GER,Men,hockey,Bronze,1
2004,Hockey,Hockey,"CRONE, Philipp",GER,Men,hockey,Bronze,1
