year,sport,discipline,athlete,country_code,gender,event,medal,medal_value
1968,Gymnastics,Artistic G.,"KRAJCIROVA-NEMETHOVA, Mariana",TCH,Women,team competition,Silver,2
1968,Gymnastics,Artistic G.,"CASLAVSKA, Vera",TCH,Women,team competition,Silver,2
1968,Gymnastics,Artistic G.,"VORONINA, Zinaida",URS,Women,team competition,Gold,3
1968,Gymnastics,Artistic G.,"TURISCHEVA, Lyudmila",URS,Women,team competition,Gold,3
1968,Gymnastics,Artistic G.,"PETRIK, Larisa",URS,Women,team competition,Gold,3
1968,Gymnastics,Artistic G.,"KARASEVA, Olga",URS,Women,team competition,Gold,3
1968,Gymnastics,Artistic G.,"BURDA, Lyubov",URS,Women,team competition,Gold,3
1968,Gymnastics,Artistic G.,"NOACK, Marianne",GDR,Women,team competition,Bronze,1
1968,Gymnastics,Artistic G.,"ZUCHOLD, Erika",GDR,Women,team competition,Bronze,1
1968,Gymnastics,Artistic G.,"LISKOVA, Hana",TCH,Women,team competition,Silver,2
1968,Gymnastics,Artistic G.,"STARKE, Ute",GDR,Women,team competition,Bronze,1
1968,Gymnastics,Artistic G.,"SCHMIDT, Magdalena",GDR,Women,team competition,Bronze,1
1968,Gymnastics,Artistic G.,"KUCHINSKAYA, Natalya",URS,Women,team competition,Gold,3
1968,Gymnastics,Artistic G.,"POSNEROVA-KUBICKOVA, Jana",TCH,Women,team competition,Silver,2
1968,Gymnastics,Artistic G.,"DIOMIDOV, Sergei",URS,Men,vault,Bronze,1
1968,Gymnastics,Artistic G.,"SKLENICKOVA, Miroslava",TCH,Women,team competition,Silver,2
1968,Gymnastics,Artistic G.,"VORONINA, Zinaida",URS,Women,uneven bars,Bronze,1
1968,Gymnastics,Artistic G.,"CASLAVSKA, Vera",TCH,Women,uneven bars,Gold,3
1968,Gymnastics,Artistic G.,"JANZ, Karin",GDR,Women,uneven bars,Silver,2
1968,Gymnastics,Artistic G.,"VORONIN, Mikhail",URS,Men,vault,Gold,3
1968,Gymnastics,Artistic G.,"ENDO, Yukio",JPN,Men,vault,Silver,2
1968,Gymnastics,Artistic G.,"VORONINA, Zinaida",URS,Women,vault,Bronze,1
1968,Hockey,Hockey,"CHRISTY, Rajendra Absolem",IND,Men,hockey,Bronze,1
1968,Gymnastics,Artistic G.,"CASLAVSKA, Vera",TCH,Women,vault,Gold,3
1968,Gymnastics,Artistic G.,"ZUCHOLD, Erika",GDR,Women,vault,Silver,2
1968,Hockey,Hockey,"PERUMAL, Krishnanurthy",IND,Men,hockey,Bronze,1
1968,Hockey,Hockey,"PETER, John Victor",IND,Men,hockey,Bronze,1
1968,Gymnastics,Artistic G.,"JANZ, Karin",GDR,Women,team competition,Bronze,1
1968,Gymnastics,Artistic G.,"RIMNACOVA, Bohmila",TCH,Women,team competition,Silver,2
