year,sport,discipline,athlete,country_code,gender,event,medal,medal_value
1960,Gymnastics,Artistic G.,"MENICHELLI, Franco",ITA,Men,team competition,Bronze,1
1960,Gymnastics,Artistic G.,"MARZOLLA, Gianfranco",ITA,Men,team competition,Bronze,1
1960,Gymnastics,Artistic G.,"CARMINUCCI, Pasquale",ITA,Men,team competition,Bronze,1
1960,Gymnastics,Artistic G.,"CARMINUCCI, Giovanni",ITA,Men,team competition,Bronze,1
1960,Gymnastics,Artistic G.,"SHAKHLIN, Boris",URS,Men,pommel horse,Gold,3
1960,Gymnastics,Artistic G.,"AZARYAN, Albert",URS,Men,rings,Gold,3
1960,Gymnastics,Artistic G.,"ONO, Takashi",JPN,Men,rings,Bronze,1
1960,Gymnastics,Artistic G.,"KAPSAZOV, Velik Nikolov",BUL,Men,rings,Bronze,1
1960,Gymnastics,Artistic G.,"TITOV, Yuri",URS,Men,team competition,Silver,2
1960,Gymnastics,Artistic G.,"SHAKHLIN, Boris",URS,Men,rings,Silver,2
1960,Gymnastics,Artistic G.,"POLMONARI, Orlando",ITA,Men,team competition,Bronze,1
1960,Gymnastics,Artistic G.,"TAKEMOTO, Masao",JPN,Men,team competition,Gold,3
1960,Gymnastics,Artistic G.,"AIHARA, Nobuyuki",JPN,Men,team competition,Gold,3
1960,Gymnastics,Artistic G.,"ENDO, Yukio",JPN,Men,team competition,Gold,3
1960,Gymnastics,Artistic G.,"MITSUKURI, Takashi",JPN,Men,team competition,Gold,3
1960,Gymnastics,Artistic G.,"ONO, Takashi",JPN,Men,team competition,Gold,3
1960,Gymnastics,Artistic G.,"TSURUMI, Shuji",JPN,Men,team competition,Gold,3
1960,Gymnastics,Artistic G.,"AZARYAN, Albert",URS,Men,team competition,Silver,2
1960,Gymnastics,Artistic G.,"KERDEMILIDI, Valeri",URS,Men,team competition,Silver,2
1960,Gymnastics,Artistic G.,"MILIGULO, Nikolai",URS,Men,team competition,Silver,2
1960,Gymnastics,Artistic G.,"PORTNOI, Vladimir",URS,Men,team competition,Silver,2
1960,Gymnastics,Artistic G.,"SHAKHLIN, Boris",URS,Men,team competition,Silver,2
1960,Gymnastics,Artistic G.,"EKMAN, Eugen Georg Oskar",FIN,Men,pommel horse,Gold,3
1960,Gymnastics,Artistic G.,"VICARDI, Angelo",ITA,Men,team competition,Bronze,1
1960,Gymnastics,Artistic G.,"TSURUMI, Shuji",JPN,Men,pommel horse,Bronze,1
1960,Gymnastics,Artistic G.,"ASTAKHOVA, Polina",URS,Women,floor exercises,Silver,2
1960,Gymnastics,Artistic G.,"SHAKHLIN, Boris",URS,Men,parallel bars,Gold,3
1960,Gymnastics,Artistic G.,"IONESCU-ALBU, Atanasia",ROU,Women,team competition,Bronze,1
1960,Football,Football,"NIELSEN, Hans Christian W.",DEN,Men,football,Silver,2
1960,Football,Football,"NIELSEN, Harald Ingemann",DEN,Men,football,Silver,2
1960,Football,Football,"PEDERSEN, Poul Ebbesen",DEN,Men,football,Silver,2
1960,Football,Football,"SÃRENSEN, JÃ¶rn",DEN,Men,football,Silver,2
