year,sport,discipline,athlete,country_code,gender,event,medal,medal_value
1988,Handball,Handball,"NESTEROV, Yuri",URS,Men,handball,Gold,3
1988,Handball,Handball,"LAVROV, Andrey",URS,Men,handball,Gold,3
1988,Handball,Handball,"KARSHAKEVICH, Aleksandr",URS,Men,handball,Gold,3
1988,Handball,Handball,"GOPIN, Valeri",URS,Men,handball,Gold,3
1988,Handball,Handball,"CHUMENTSEV, Andrei",URS,Men,handball,Gold,3
1988,Gymnastics,Artistic G.,"PARK, Jong-Hoon",KOR,Men,vault,Bronze,1
1988,Rowing,Rowing,"STRAUCH, Annegret",GDR,Women,eight with coxswain (8+),Gold,3
1988,Wrestling,Wrestling Gre-R,"MIYAHARA, Atsuji",JPN,Men,48 - 52kg (flyweight),Silver,2
1988,Rowing,Rowing,"ZEIDLER, Judith",GDR,Women,eight with coxswain (8+),Gold,3
1988,Volleyball,Volleyball,"LI, Yue-Ming",CHN,Women,volleyball,Bronze,1
1988,Volleyball,Volleyball,"LI, Guo-Jun",CHN,Women,volleyball,Bronze,1
1988,Volleyball,Volleyball,"JIANG, Ying",CHN,Women,volleyball,Bronze,1
1988,Volleyball,Volleyball,"HOU, Yu-Zhu",CHN,Women,volleyball,Bronze,1
1988,Volleyball,Volleyball,"CUI, Yong-Mei",CHN,Women,volleyball,Bronze,1
1988,Volleyball,Volleyball,"ZAITSEV, Viacheslav",URS,Men,volleyball,Silver,2
1988,Volleyball,Volleyball,"VILDE, Raimundas",URS,Men,volleyball,Silver,2
1988,Volleyball,Volleyball,"SOROKOLET, Aleksandr",URS,Men,volleyball,Silver,2
1988,Volleyball,Volleyball,"SHKURIKHIN, Vladimir",URS,Men,volleyball,Silver,2
1988,Volleyball,Volleyball,"SU, Huijuan",CHN,Women,volleyball,Bronze,1
1988,Volleyball,Volleyball,"SAPEGA, Yuri",URS,Men,volleyball,Silver,2
1988,Volleyball,Volleyball,"PANCHENKO, Yuri",URS,Men,volleyball,Silver,2
1988,Volleyball,Volleyball,"LOSEV, Valeri",URS,Men,volleyball,Silver,2
1988,Volleyball,Volleyball,"KUZNETSOV, Andrei",URS,Men,volleyball,Silver,2
1988,Volleyball,Volleyball,"KRASILNIKOV, Yevgeni",URS,Men,volleyball,Silver,2
1988,Volleyball,Volleyball,"CHEREDNIK, Yuri",URS,Men,volleyball,Silver,2
1988,Volleyball,Volleyball,"ANTONOV, Yaroslav",URS,Men,volleyball,Silver,2
1988,Volleyball,Volleyball,"TIMMONS, Steve Dennis",USA,Men,volleyball,Gold,3
1988,Volleyball,Volleyball,"TANNER, Troy R.",USA,Men,volleyball,Gold,3
1988,Volleyball,Volleyball,"STORK, Jeffrey Malcolm",USA,Men,volleyball,Gold,3
1988,Volleyball,Volleyball,"RUNOV, Igor",URS,Men,volleyball,Silver,2
1988,Volleyball,Volleyball,"SAUNDERS, David Patrick",USA,Men,volleyball,Gold,3
1988,Volleyball,Volleyball,"WANG, Ya-Jun",CHN,Women,volleyball,Bronze,1
1988,Volleyball,Volleyball,"YANG, Xiao-Jun",CHN,Women,volleyball,Bronze,1
1988,Volleyball,Volleyball,"GARCIA, Rosa",PER,Women,volleyball,Silver,2
1988,Volleyball,Volleyball,"GALLARDO, Miriam",PER,Women,volleyball,Silver,2
1988,Volleyball,Volleyball,"FAJARDO, Denisse",PER,Women,volleyball,Silver,2
1988,Volleyball,Volleyball,"DE LA GUERRA, Alejandra",PER,Women,volleyball,Silver,2
1988,Volleyball,Volleyball,"CERVERA, Luisa",PER,Women,volleyball,Silver,2
1988,Volleyball,Volleyball,"VOLKOVA, Elena",URS,Women,volleyball,Gold,3
1988,Volleyball,Volleyball,"SMIRNOVA, Irina",URS,Women,volleyball,Gold,3
1988,Volleyball,Volleyball,"SIDORENKO, Tatyana",URS,Women,volleyball,Gold,3
1988,Volleyball,Volleyball,"SHKURNOVA, Olga",URS,Women,volleyball,Gold,3
1988,Volleyball,Volleyball,"WU, Dan",CHN,Women,volleyball,Bronze,1
1988,Volleyball,Volleyball,"PARKHOMCHUK, Irina",URS,Women,volleyball,Gold,3
1988,Volleyball,Volleyball,"OGIENKO, Valentina",URS,Women,volleyball,Gold,3
1988,Volleyball,Volleyball,"NIKULINA, Marina",URS,Women,volleyball,Gold,3
1988,Volleyball,Volleyball,"KUMYSH, Marina",URS,Women,volleyball,Gold,3
1988,Volleyball,Volleyball,"KRIVOSHEEVA, Olga",URS,Women,volleyball,Gold,3
1988,Volleyball,Volleyball,"KRAINOVA, Tatyana",URS,Women,volleyball,Gold,3
1988,Volleyball,Volleyball,"KORYTOVA, Svetlana",URS,Women,volleyball,Gold,3
1988,Volleyball,Volleyball,"ZHENG, Mei-Zhu",CHN,Women,volleyball,Bronze,1
1988,Volleyball,Volleyball,"ZHAO, Hong",CHN,Women,volleyball,Bronze,1
1988,Volleyball,Volleyball,"YANG, Xi-Lan",CHN,Women,volleyball,Bronze,1
1988,Volleyball,Volleyball,"OVCHINNIKOVA, Elena",URS,Women,volleyball,Gold,3
1988,Volleyball,Volleyball,"SATO, Eric",USA,Men,volleyball,Gold,3
1988,Volleyball,Volleyball,"ROOT, Jonathan Edward",USA,Men,volleyball,Gold,3
1988,Volleyball,Volleyball,"PARTIE, Robert Douglas",USA,Men,volleyball,Gold,3
1988,Tennis,Tennis,"SUKOVA, Helena",TCH,Women,doubles,Silver,2
1988,Tennis,Tennis,"NOVOTNA, Jana",TCH,Women,doubles,Silver,2
1988,Tennis,Tennis,"SHRIVER, Pamela Howard",USA,Women,doubles,Gold,3
1988,Tennis,Tennis,"GARRISON, Zina",USA,Women,doubles,Gold,3
1988,Tennis,Tennis,"TURNBULL, Wendy",AUS,Women,doubles,Bronze,1
1988,Tennis,Tennis,"SMYLIE, Elizabeth",AUS,Women,doubles,Bronze,1
1988,Tennis,Tennis,"KOHDE-KILSCH, Claudia",FRG,Women,doubles,Bronze,1
1988,Tennis,Tennis,"GRAF, Steffi",FRG,Women,doubles,Bronze,1
1988,Tennis,Tennis,"SANCHEZ, Emilio",ESP,Men,doubles,Silver,2
1988,Tennis,Tennis,"EDBERG, Stefan",SWE,Men,singles,Bronze,1
1988,Tennis,Tennis,"CASAL MARTINEZ, Sergio",ESP,Men,doubles,Silver,2
1988,Tennis,Tennis,"FLACH, Kenneth",USA,Men,doubles,Gold,3
1988,Tennis,Tennis,"SREJBER, Milan",TCH,Men,doubles,Bronze,1
1988,Tennis,Tennis,"MECIR, Miloslav",TCH,Men,doubles,Bronze,1
1988,Tennis,Tennis,"JARRYD, Anders",SWE,Men,doubles,Bronze,1
1988,Tennis,Tennis,"EDBERG, Stefan",SWE,Men,doubles,Bronze,1
1988,Table Tennis,Table Tennis,"LI, Hui-Fen",CHN,Women,singles,Silver,2
1988,Table Tennis,Table Tennis,"CHEN, Jing",CHN,Women,singles,Gold,3
1988,Table Tennis,Table Tennis,"JIAO, Zhi-Min",CHN,Women,singles,Bronze,1
1988,Table Tennis,Table Tennis,"KIM, Ki Taik",KOR,Men,singles,Silver,2
1988,Tennis,Tennis,"SEGUSO, Robert A.",USA,Men,doubles,Gold,3
1988,Tennis,Tennis,"GILBERT, Bradley N.",USA,Men,singles,Bronze,1
1988,Tennis,Tennis,"MECIR, Miloslav",TCH,Men,singles,Gold,3
1988,Tennis,Tennis,"MAYOTTE, Timothy C.",USA,Men,singles,Silver,2
