year,sport,discipline,athlete,country_code,gender,event,medal,medal_value
2000,Hockey,Hockey,"GEERIS, Piet-Hein",NED,Men,hockey,Gold,3
2000,Hockey,Hockey,"JANSEN, Franciscus Ronaldus Maria",NED,Men,hockey,Gold,3
2000,Hockey,Hockey,"JAZET, Erik",NED,Men,hockey,Gold,3
2000,Hockey,Hockey,"VOGELS, Guus",NED,Men,hockey,Gold,3
2000,Hockey,Hockey,"VAN DER WEIDE, Sander",NED,Men,hockey,Gold,3
2000,Hockey,Hockey,"LOMANS, Bram",NED,Men,hockey,Gold,3
2000,Hockey,Hockey,"VAN PELT, Wouter",NED,Men,hockey,Gold,3
2000,Hockey,Hockey,"VEEN, Stephan",NED,Men,hockey,Gold,3
2000,Hockey,Hockey,"VAN WIJK, Remco",NED,Men,hockey,Gold,3
2000,Hockey,Hockey,"VAN WEEL, Diederik",NED,Men,hockey,Gold,3
2000,Hockey,Hockey,"EIKELBOOM, Marten",NED,Men,hockey,Gold,3
2000,Hockey,Hockey,"DELMEE, Jeroen",NED,Men,hockey,Gold,3
2000,Hockey,Hockey,"ELMER, James",AUS,Men,hockey,Bronze,1
2000,Hockey,Hockey,"BUMA, Jaap Derk",NED,Men,hockey,Gold,3
2000,Hockey,Hockey,"BRINKMAN, Jacques",NED,Men,hockey,Gold,3
2000,Hockey,Hockey,"YORK, Michael",AUS,Men,hockey,Bronze,1
2000,Hockey,Hockey,"WELLS, Matthew",AUS,Men,hockey,Bronze,1
2000,Hockey,Hockey,"VICTORY, Craig",AUS,Men,hockey,Bronze,1
2000,Hockey,Hockey,"STACEY, Jay Jason",AUS,Men,hockey,Bronze,1
2000,Hockey,Hockey,"SPROULE, Daniel",AUS,Men,hockey,Bronze,1
2000,Hockey,Hockey,"LIVERMORE, Brent",AUS,Men,hockey,Bronze,1
2000,Hockey,Hockey,"HOLT, Stephen",AUS,Men,hockey,Bronze,1
2000,Hockey,Hockey,"GAUDOIN, Paul",AUS,Men,hockey,Bronze,1
2000,Hockey,Hockey,"WIND, Peter",NED,Men,hockey,Gold,3
2000,Hockey,Hockey,"ELDER, Troy",AUS,Men,hockey,Bronze,1
2000,Hockey,Hockey,"DUFF, Jason",AUS,Men,hockey,Bronze,1
2000,Hockey,Hockey,"DREHER, Lachlan",AUS,Men,hockey,Bronze,1
2000,Hockey,Hockey,"DE NOOIJER, Teun",NED,Men,hockey,Gold,3
2000,Hockey,Hockey,"HAN, Hyung-Bae",KOR,Men,hockey,Silver,2
2000,Hockey,Hockey,"TEEUWEN, Josepha",NED,Women,hockey,Bronze,1
2000,Hockey,Hockey,"JEON, Hong-Kwon",KOR,Men,hockey,Silver,2
2000,Hockey,Hockey,"VAN DER VAART, Macha",NED,Women,hockey,Bronze,1
2000,Hockey,Hockey,"VAN DEN BOOGAARD, Dillianne",NED,Women,hockey,Bronze,1
2000,Hockey,Hockey,"DILETTI, Damon",AUS,Men,hockey,Bronze,1
2000,Hockey,Hockey,"VAN DE KIEFT, Fleur",NED,Women,hockey,Bronze,1
2000,Hockey,Hockey,"VAN DER WIELEN, Suzan",NED,Women,hockey,Bronze,1
2000,Hockey,Hockey,"TOUW, Daphne",NED,Women,hockey,Bronze,1
2000,Hockey,Hockey,"THATE, Carole",NED,Women,hockey,Bronze,1
2000,Hockey,Hockey,"SMABERS, Minke",NED,Women,hockey,Bronze,1
2000,Hockey,Hockey,"SMABERS, Hanneke",NED,Women,hockey,Bronze,1
2000,Hockey,Hockey,"SINNIGE, Clarinda",NED,Women,hockey,Bronze,1
2000,Hockey,Hockey,"MOREIRA DE MELO, Fatima",NED,Women,hockey,Bronze,1
2000,Hockey,Hockey,"DONNERS, Wilhelmina",NED,Women,hockey,Bronze,1
2000,Hockey,Hockey,"DEITERS, Julie",NED,Women,hockey,Bronze,1
2000,Hockey,Hockey,"HWANG, Jong-Hyun",KOR,Men,hockey,Silver,2
2000,Hockey,Hockey,"BOOMGAARDT, Ageeth",NED,Women,hockey,Bronze,1
2000,Hockey,Hockey,"YEO, Woon-Kon",KOR,Men,hockey,Silver,2
2000,Hockey,Hockey,"SONG, Seung-Tae",KOR,Men,hockey,Silver,2
2000,Hockey,Hockey,"SEO, Jong-Ho",KOR,Men,hockey,Silver,2
2000,Hockey,Hockey,"LIM, Jung-Woo",KOR,Men,hockey,Silver,2
2000,Hockey,Hockey,"LIM, Jong-Chun",KOR,Men,hockey,Silver,2
2000,Hockey,Hockey,"KIM, Yoon",KOR,Men,hockey,Silver,2
2000,Hockey,Hockey,"KIM, Yong-Bae",KOR,Men,hockey,Silver,2
2000,Hockey,Hockey,"KIM, Kyung Seok",KOR,Men,hockey,Silver,2
2000,Hockey,Hockey,"KIM, Jung-Chul",KOR,Men,hockey,Silver,2
2000,Hockey,Hockey,"KIM, Chel-Hwan",KOR,Men,hockey,Silver,2
2000,Hockey,Hockey,"KANG, Keon-Wook",KOR,Men,hockey,Silver,2
2000,Hockey,Hockey,"JI, Seong-Hwan",KOR,Men,hockey,Silver,2
2000,Hockey,Hockey,"JEON, Jong-Ha",KOR,Men,hockey,Silver,2
2000,Hockey,Hockey,"BOOIJ, Minke",NED,Women,hockey,Bronze,1
2000,Hockey,Hockey,"DAVIES, Stephen",AUS,Men,hockey,Bronze,1
2000,Handball,Handball,"OLSSON, Staffan",SWE,Men,handball,Silver,2
2000,Hockey,Hockey,"BRENNAN, Michael",AUS,Men,hockey,Bronze,1
2000,Handball,Handball,"SANDVE, Monica",NOR,Women,handball,Bronze,1
2000,Handball,Handball,"SAETTEM, Birgitte",NOR,Women,handball,Bronze,1
2000,Handball,Handball,"ROKNE, Marianne",NOR,Women,handball,Bronze,1
2000,Handball,Handball,"NILSEN, Jeanette",NOR,Women,handball,Bronze,1
2000,Handball,Handball,"LEGANGER, Cecilie",NOR,Women,handball,Bronze,1
2000,Handball,Handball,"LARSEN, Tonje",NOR,Women,handball,Bronze,1
2000,Handball,Handball,"HUNDVIN, Mia",NOR,Women,handball,Bronze,1
2000,Handball,Handball,"HILMO, Elisabeth",NOR,Women,handball,Bronze,1
2000,Handball,Handball,"HALTVIK, Trine",NOR,Women,handball,Bronze,1
2000,Handball,Handball,"GRINI, Kjersti",NOR,Women,handball,Bronze,1
2000,Handball,Handball,"ERIKSEN, Ann",NOR,Women,handball,Bronze,1
2000,Handball,Handball,"DUVHOLT, Kristine",NOR,Women,handball,Bronze,1
2000,Handball,Handball,"BJERKRHEIM, Susann Goksoer",NOR,Women,handball,Bronze,1
2000,Handball,Handball,"WISLANDER, Magnus",SWE,Men,handball,Silver,2
2000,Handball,Handball,"VRANJES, Ljubomir",SWE,Men,handball,Silver,2
2000,Handball,Handball,"THORSSON, Pierre",SWE,Men,handball,Silver,2
2000,Handball,Handball,"SVENSSON, Tomas",SWE,Men,handball,Silver,2
2000,Handball,Handball,"SIVERTSSON, Thomas",SWE,Men,handball,Silver,2
2000,Handball,Handball,"PETTERSSON, Johan",SWE,Men,handball,Silver,2
2000,Handball,Handball,"LOFGREN, Stefan",SWE,Men,handball,Silver,2
2000,Handball,Handball,"LINDGREN, Ola",SWE,Men,handball,Silver,2
2000,Handball,Handball,"LARSSON, Andreas",SWE,Men,handball,Silver,2
2000,Handball,Handball,"GENTZEL, Peter",SWE,Men,handball,Silver,2
2000,Handball,Handball,"BOQUIST, Martin",SWE,Men,handball,Silver,2
2000,Handball,Handball,"FRANDESJO, Martin",SWE,Men,handball,Silver,2
2000,Hockey,Hockey,"VEENSTRA, Myrna",NED,Women,hockey,Bronze,1
2000,Handball,Handball,"FRANZEN, Mathias",SWE,Men,handball,Silver,2
2000,Handball,Handball,"SOERLIE, Else-Marthe",NOR,Women,handball,Bronze,1
2000,Handball,Handball,"TJUGUM, Heidi Maire",NOR,Women,handball,Bronze,1
2000,Handball,Handball,"ANDERSEN, Camilla",DEN,Women,handball,Gold,3
2000,Handball,Handball,"BOTTZAU, Tina",DEN,Women,handball,Gold,3
2000,Handball,Handball,"ZSEMBERY, Tamasne",HUN,Women,handball,Silver,2
2000,Handball,Handball,"SITI, Beata",HUN,Women,handball,Silver,2
2000,Handball,Handball,"RADULOVICS, Bojana",HUN,Women,handball,Silver,2
2000,Handball,Handball,"PIGNICZKI, Krisztina",HUN,Women,handball,Silver,2
2000,Handball,Handball,"PALINGER, Katalin",HUN,Women,handball,Silver,2
2000,Handball,Handball,"PADAR, Ildiko",HUN,Women,handball,Silver,2
2000,Handball,Handball,"NAGY, Aniko",HUN,Women,handball,Silver,2
2000,Handball,Handball,"LOWY, Dora",HUN,Women,handball,Silver,2
2000,Handball,Handball,"KULCSAR, Anita",HUN,Women,handball,Silver,2
2000,Handball,Handball,"KOKENY, Beatrix",HUN,Women,handball,Silver,2
2000,Handball,Handball,"KANTOR, Aniko",HUN,Women,handball,Silver,2
2000,Handball,Handball,"FARKAS, Andrea",HUN,Women,handball,Silver,2
2000,Handball,Handball,"FARKAS, Agnes",HUN,Women,handball,Silver,2
2000,Hockey,Hockey,"COMMENS, Adam",AUS,Men,hockey,Bronze,1
2000,Handball,Handball,"DELI, Rita",HUN,Women,handball,Silver,2
2000,Handball,Handball,"VESTERGAARD LARSEN, Mette",DEN,Women,handball,Gold,3
2000,Handball,Handball,"RANTALA, Lene",DEN,Women,handball,Gold,3
2000,Handball,Handball,"PETERSEN, Rikke",DEN,Women,handball,Gold,3
2000,Handball,Handball,"NIELSEN, Anja",DEN,Women,handball,Gold,3
2000,Handball,Handball,"MORTENSEN, Karin",DEN,Women,handball,Gold,3
2000,Handball,Handball,"KOLLING, Janne",DEN,Women,handball,Gold,3
2000,Handball,Handball,"KJAERGAARD, Tonje",DEN,Women,handball,Gold,3
2000,Handball,Handball,"KIAERSKOU, Lotte",DEN,Women,handball,Gold,3
2000,Handball,Handball,"HOFFMAN, Anette",DEN,Women,handball,Gold,3
2000,Handball,Handball,"HANSEN, Christina Roslyng",DEN,Women,handball,Gold,3
2000,Handball,Handball,"GRONBEK, Maja",DEN,Women,handball,Gold,3
2000,Handball,Handball,"FRUELUND, Katrine",DEN,Women,handball,Gold,3
2000,Handball,Handball,"BRODSGAARD, Karen",DEN,Women,handball,Gold,3
2000,Handball,Handball,"BALOGH, Beatrix",HUN,Women,handball,Silver,2
2000,Hockey,Hockey,"ALLEN, Katie",AUS,Women,hockey,Gold,3
2000,Rowing,Rowing,"CULJAK, Kresimir",CRO,Men,eight with coxswain (8+),Bronze,1
2000,Hockey,Hockey,"CARRUTHERS, Lisa",AUS,Women,hockey,Gold,3
