year,sport,discipline,athlete,country_code,gender,event,medal,medal_value
2008,Hockey,Hockey,"FREIXA, Santiago",ESP,Men,hockey,Silver,2
2008,Hockey,Hockey,"GARZA, Rodrigo",ESP,Men,hockey,Silver,2
2008,Hockey,Hockey,"GARCIA, Agustina",ARG,Women,hockey,Bronze,1
2008,Hockey,Hockey,"OLIVA, Roc",ESP,Men,hockey,Silver,2
2008,Hockey,Hockey,"RIBAS, Xavier",ESP,Men,hockey,Silver,2
2008,Hockey,Hockey,"SALA, Albert",ESP,Men,hockey,Silver,2
2008,Hockey,Hockey,"BURKART, Claudia",ARG,Women,hockey,Bronze,1
2008,Hockey,Hockey,"TUBAU, Eduard",ESP,Men,hockey,Silver,2
2008,Hockey,Hockey,"AICEGA, Magdalena",ARG,Women,hockey,Bronze,1
2008,Hockey,Hockey,"AYMAR, Luciana",ARG,Women,hockey,Bronze,1
2008,Hockey,Hockey,"BARRIONUEVO, Noel",ARG,Women,hockey,Bronze,1
2008,Hockey,Hockey,"FERNANDEZ, Juan",ESP,Men,hockey,Silver,2
2008,Hockey,Hockey,"SOJO, Victor",ESP,Men,hockey,Silver,2
2008,Hockey,Hockey,"FABREGAS, Francisco",ESP,Men,hockey,Silver,2
2008,Hockey,Hockey,"GAO, Lihua",CHN,Women,hockey,Silver,2
2008,Hockey,Hockey,"ENRIQUE, Sergi",ESP,Men,hockey,Silver,2
2008,Hockey,Hockey,"CORTES, Francisco",ESP,Men,hockey,Silver,2
2008,Hockey,Hockey,"ARBOS, Eduard",ESP,Men,hockey,Silver,2
2008,Hockey,Hockey,"AMAT, Pol",ESP,Men,hockey,Silver,2
2008,Hockey,Hockey,"ALEGRE, Ramon",ESP,Men,hockey,Silver,2
2008,Hockey,Hockey,"ALEGRE, David",ESP,Men,hockey,Silver,2
2008,Hockey,Hockey,"ZELLER, Philipp",GER,Men,hockey,Gold,3
2008,Hockey,Hockey,"ZELLER, Christopher",GER,Men,hockey,Gold,3
2008,Hockey,Hockey,"WITTHAUS, Matthias",GER,Men,hockey,Gold,3
2008,Hockey,Hockey,"WITTE, Philip",GER,Men,hockey,Gold,3
2008,Hockey,Hockey,"WESS, Timo",GER,Men,hockey,Gold,3
2008,Hockey,Hockey,"GONZALEZ OLIVA, Mariana",ARG,Women,hockey,Bronze,1
2008,Hockey,Hockey,"WESS, Benjamin",GER,Men,hockey,Gold,3
